,alias,auctionEndTime,baseCcy,category,contTdSwTime,ctMult,ctType,ctVal,ctValCcy,expTime,futureSettlement,instFamily,instId,instIdCode,instType,lever,listTime,lotSz,maxIcebergSz,maxLmtAmt,maxLmtSz,maxMktAmt,maxMktSz,maxStopSz,maxTriggerSz,maxTwapSz,minSz,openType,optType,quoteCcy,ruleType,settleCcy,state,stk,tickSz,tradeQuoteCcyList,uly
51,,,,1,,1,linear,1,ATOM,,False,ATOM-USDT,ATOM-USDT-SWAP,10490,SWAP,50,1573557408000,1,100000000.0000000000000000,20000000,100000000,,20000,20000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.001,[],ATOM-USDT
52,,,,1,,1,linear,0.1,AUCTION,,False,AUCTION-USDT,AUCTION-USDT-SWAP,139330,SWAP,20,1701417300613,1,100000000.0000000000000000,20000000,100000000,,100000,100000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.001,[],AUCTION-USDT
53,,,,1,,1,linear,1,AVAX,,False,AVAX-USDT,AVAX-USDT-SWAP,10491,SWAP,50,1600840800000,0.1,100000000.0000000000000000,20000000,100000000,,15000,15000,100000000.0000000000000000,100000000.0000000000000000,0.1,,,,normal,USDT,live,,0.001,[],AVAX-USDT
54,,,,1,,1,linear,10,AVAAI,,False,AVAAI-USDT,AVAAI-USDT-SWAP,194933,SWAP,20,1737975602080,1,100000000.0000000000000000,20000000,100000000,,100000,100000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],AVAAI-USDT
55,,,,1,,1,linear,0.1,AXS,,False,AXS-USDT,AXS-USDT-SWAP,26858,SWAP,20,1627462800000,1,100000000.0000000000000000,20000000,100000000,,150000,150000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.001,[],AXS-USDT
56,,,,1,,1,linear,10,BABY,,False,BABY-USDT,BABY-USDT-SWAP,205558,SWAP,50,1744282800387,1,100000000.0000000000000000,20000000,100000000,,100000,100000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],BABY-USDT
57,,,,1,,1,linear,1,BAND,,False,BAND-USDT,BAND-USDT-SWAP,10493,SWAP,20,1599473571000,1,100000000.0000000000000000,20000000,100000000,,30000,30000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],BAND-USDT
58,,,,1,,1,linear,10,BAT,,False,BAT-USDT,BAT-USDT-SWAP,10494,SWAP,20,1598609571000,1,100000000.0000000000000000,20000000,100000000,,23000,23000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],BAT-USDT
59,,,,1,,1,linear,0.1,BCH,,False,BCH-USDT,BCH-USDT-SWAP,10465,SWAP,50,1573557408000,0.1,100000000.0000000000000000,20000000,100000000,,20000,20000,100000000.0000000000000000,100000000.0000000000000000,0.1,,,,normal,USDT,live,,0.1,[],BCH-USDT
60,,,,1,,1,linear,0.1,BERA,,False,BERA-USDT,BERA-USDT-SWAP,196524,SWAP,20,1738850401850,1,100000000.0000000000000000,20000000,100000000,,100000,100000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.001,[],BERA-USDT
61,,,,1,,1,linear,1,BICO,,False,BICO-USDT,BICO-USDT-SWAP,48267,SWAP,20,1639032617371,1,100000000.0000000000000000,20000000,100000000,,33000,33000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],BICO-USDT
